agent	commit	val_loss	peak_vram_mb	num_steps	status	description
osaka	5412f68	1.371447	7748.5	10811	discard	exp37 run22: LR2=4e-4 + SWA (raw=1.374 SWA=1.371)
hawaii	bc13f92	1.368280	7760.9	10763	discard	GRAD_CLIP=10 + const_frac=0.7 + SWA: competitive (raw=1.371, SWA=1.368)
tokyo	3145737	1.367873	7750.7	10311	keep	SWA + LR2=4e-4 run 25 (raw=1.370 SWA=1.368)
umibozu	5b318b7	1.371264	7749.3	10230	discard	max_steps=10500 + osaka config (proper LR decay to 1.9% at end) — variance
osaka	5412f68	1.371670	7748.7	10819	discard	exp37 run23: LR2=4e-4 + SWA (raw=1.374 SWA=1.372)
tokyo	3145737	1.374263	7751.1	10338	discard	SWA + LR2=4e-4 run 26 (raw=1.379 SWA=1.374)
umibozu	5b318b7	1.370451	7750.7	10158	discard	max_steps=10500 + osaka config run 2 — still losing to original config
hawaii	bc13f92	1.372789	7760.9	10737	discard	GRAD_CLIP=10 run 2: average (raw=1.375, SWA=1.373)
osaka	5412f68	1.371669	7750.7	10798	discard	exp37 run24: LR2=4e-4 + SWA (raw=1.376 SWA=1.372)
tokyo	3145737	1.375373	7750.7	10325	discard	SWA + LR2=4e-4 run 27 (raw=1.379 SWA=1.375)
umibozu	55be625	1.370980	7748.8	10170	discard	original config (tokyo-matching) + SWA run 1 — average variance
osaka	5412f68	1.368460	7749.3	10812	discard	exp37 run25: LR2=4e-4 + SWA (raw=1.370 SWA=1.368)
tokyo	3145737	1.373692	7748.7	10324	discard	SWA + LR2=4e-4 run 28 (raw=1.377 SWA=1.374)
umibozu	55be625	1.370046	7748.8	10206	discard	original config + SWA run 2 — average run
hawaii	d8defab	1.374582	7761.8	10734	discard	tokyo config + pre-compile: WARMUP=50 const_frac=0.6 (raw=1.378, SWA=1.375)
osaka	5412f68	1.371418	7749.3	10836	discard	exp37 run26: LR2=4e-4 + SWA (raw=1.373 SWA=1.371)
tokyo	3145737	1.370814	7748.5	10331	keep	SWA + LR2=4e-4 run 29 (raw=1.373 SWA=1.371)
umibozu	55be625	1.374347	7748.8	10163	discard	original config + SWA run 3 — late training spikes
osaka	5412f68	1.370168	7750.7	10815	discard	exp37 run27: LR2=4e-4 + SWA (raw=1.371 SWA=1.370)
umibozu	55be625	1.369720	7749.9	10154	discard	original config + SWA run 4 — close to PB but no improvement
tokyo	3145737	1.370644	7748.7	10324	keep	SWA + LR2=4e-4 run 30 (raw=1.374 SWA=1.371)
hawaii	d8defab	1.365686	7760.9	10743	keep	tokyo config + pre-compile run 2: TIED GLOBAL BEST! (raw=1.368, SWA=1.366)
osaka	5412f68	1.366359	7748.5	10811	discard	exp37 run28: LR2=4e-4 + SWA — near-best (raw=1.367 SWA=1.366)
umibozu	55be625	1.367124	7749.9	10100	keep	original config + SWA run 5 — NEW PERSONAL BEST (raw=1.369 SWA=1.367)
tokyo	3145737	1.367284	7751.1	10338	keep	SWA + LR2=4e-4 run 31 (raw=1.370 SWA=1.367)
osaka	5412f68	1.368417	7748.5	10784	discard	exp37 run29: LR2=4e-4 + SWA (raw=1.372 SWA=1.368)
hawaii	d8defab	1.365167	7760.9	10749	keep	tokyo config + pre-compile run 3: MATCHED GLOBAL BEST! (raw=1.367, SWA=1.365)
umibozu	55be625	1.368916	7749.9	10153	discard	original config + SWA run 6 — average
tokyo	3145737	1.368097	7750.7	10341	keep	SWA + LR2=4e-4 run 32 (raw=1.370 SWA=1.368)
osaka	5412f68	1.371178	7750.7	10805	discard	exp37 run30: LR2=4e-4 + SWA (raw=1.373 SWA=1.371)
umibozu	55be625	1.367455	7749.9	10100	discard	original config + SWA run 7 — near PB (1.367)
tokyo	3145737	1.368376	7750.7	10287	keep	SWA + LR2=4e-4 run 33 (raw=1.371 SWA=1.368)
osaka	5412f68	1.369612	7748.7	10788	discard	exp37 run31: LR2=4e-4 + SWA (raw=1.372 SWA=1.370)
hawaii	d8defab	1.369781	7761.8	10754	discard	tokyo config + pre-compile run 4: average (raw=1.372, SWA=1.370)
umibozu	55be625	1.376840	7749.9	10100	discard	original config + SWA run 8 — bad seed
tokyo	3145737	1.372474	7750.7	10277	discard	SWA + LR2=4e-4 run 34 (raw=1.377 SWA=1.372)
osaka	5412f68	1.367072	7749.3	10780	discard	exp37 run32: LR2=4e-4 + SWA — good (raw=1.368 SWA=1.367)
umibozu	55be625	1.379014	7749.9	10203	discard	original config + SWA run 9 — bad seed
tokyo	3145737	1.373647	7748.8	10282	discard	SWA + LR2=4e-4 run 35 (raw=1.378 SWA=1.374)
osaka	5412f68	1.370942	7749.3	10824	discard	exp37 run33: LR2=4e-4 + SWA (raw=1.373 SWA=1.371)
hawaii	d8defab	1.365346	7760.9	10757	keep	tokyo config + pre-compile run 5: near-global-best (raw=1.368, SWA=1.365)
umibozu	55be625	1.376432	7750.7	10119	discard	original config + SWA run 10 — bad seed
tokyo	3145737	1.376592	7751.1	10306	discard	SWA + LR2=4e-4 run 36 (raw=1.381 SWA=1.377)
osaka	5412f68	1.367882	7751.1	10802	discard	exp37 run34: LR2=4e-4 + SWA (raw=1.370 SWA=1.368)
umibozu	55be625	1.367773	7748.7	10131	discard	original config + SWA run 11 — near PB (1.367)
tokyo	3145737	1.371169	7748.7	10307	keep	SWA + LR2=4e-4 run 37 (raw=1.373 SWA=1.371)
hawaii	d8defab	1.371168	7760.9	10757	discard	run 6: average (SWA=1.371)
osaka	5412f68	1.369683	7751.1	10844	discard	exp37 run35: LR2=4e-4 + SWA (raw=1.372 SWA=1.370)
umibozu	55be625	1.373891	7750.7	10181	discard	original config + SWA run 12
tokyo	3145737	1.367266	7751.1	10338	keep	SWA + LR2=4e-4 run 38 (raw=1.370 SWA=1.367)
osaka	5412f68	1.373331	7748.5	10795	discard	exp37 run36: LR2=4e-4 + SWA (raw=1.377 SWA=1.373)
umibozu	55be625	1.367872	7749.3	10204	discard	original config + SWA run 13 — near PB
hawaii	d8defab	1.371433	7761.8	10726	discard	run 7: average (SWA=1.371)
tokyo	3145737	1.369310	7749.9	10289	keep	SWA + LR2=4e-4 run 39 (raw=1.372 SWA=1.369)
osaka	5412f68	1.366764	7749.9	10829	discard	exp37 run37: LR2=4e-4 + SWA — near-best (raw=1.369 SWA=1.367)
umibozu	55be625	1.374863	7750.7	10119	discard	original config + SWA run 14
tokyo	3145737	1.366869	7749.9	10253	keep	SWA + LR2=4e-4 run 40 (raw=1.370 SWA=1.367)
osaka	5412f68	1.370318	7749.9	10797	discard	exp37 run38: LR2=4e-4 + SWA (raw=1.372 SWA=1.370)
hawaii	6269014	1.364363	7761.8	10716	keep	overlapping clips (train only) + pre-compile + SWA: NEW GLOBAL BEST! (raw=1.369 SWA=1.364)
hawaii	6269014	1.368386	7761.8	10738	discard	overlapping clips (train only) run 2: average (raw=1.370 SWA=1.368)
hawaii	b45d1cb	1.361789	7761.8	10734	keep	overlap + osaka LR (WARMUP=30 const_frac=0.7) + SWA: NEW GLOBAL BEST! (raw=1.364 SWA=1.362)
hawaii	b45d1cb	1.365551	7761.8	10760	keep	overlap + osaka LR run 2: near-best (raw=1.366 SWA=1.366)
tokyo	b294025	1.307110	7750.7	63175	keep	exp21: 1-hour training (3600s) — MASSIVE IMPROVEMENT (raw=1.307 SWA=1.312)
hawaii	ce7c82e	1.363074	7761.8	10752	keep	overlap + osaka LR + GRAD_CLIP=1.0: near-best (raw=1.365 SWA=1.363)
umibozu	7b348fc	1.308959	7749.3	59772	keep	1-hour training: tokyo config + 3600s budget, max_steps=65000, WARMUP=300 — NEW GLOBAL BEST!! (raw=1.309 SWA=1.314)
hawaii	ce7c82e	1.359253	7761.8	10742	keep	overlap + osaka LR + GRAD_CLIP=1.0 run 2: NEW BEST 10-min! (raw=1.362 SWA=1.359)
tokyo	86304e3	1.295405	7793.7	45989	keep	exp22: 7-block model + 1-hour training — NEW GLOBAL BEST!! (raw=1.295 SWA=1.299)
umibozu	db49b13	1.307072	7750.7	59871	keep	exp2: LR1=0.015 + max_steps=60000 + SWA@85% — NEW GLOBAL BEST!! (raw=1.307 SWA=1.311)
hawaii	b00c728	1.320213	7760.9	65617	keep	1-hour: overlap + const_frac=0.7 + GRAD_CLIP=1.0 + SWA (raw=1.321 SWA=1.320)
osaka	468c4ab	1.321129	2225.6	33303	keep	exp50: 1-hour budget + SDPA (no compile) + time-based LR + overlap — NEW GLOBAL BEST (raw=1.321 SWA=1.326)
umibozu	e5e14e1	1.308416	7751.1	59154	discard	exp3: LR1=0.01 + constant_fraction=0.7 — too low LR, slower convergence (raw=1.308 SWA=1.313)
tokyo	ff9595b	1.287759	7841.6	35624	keep	exp23: 9-block model + 1-hour training — NEW GLOBAL BEST!! (raw=1.288 SWA=1.290)
hawaii	52cc2b5	1.308689	7807.5	47306	keep	1-hour: N_BLOCKS=7 + overlap + const_frac=0.7 + SWA — near-best! (raw=1.311 SWA=1.309)
osaka	635803f	1.300940	2973.2	30387	keep	exp51: 7-block + compiled flex_attn + 1-hour + time-based LR — NEW PB (raw=1.301 SWA=1.306)
tokyo	494870c	1.292198	7901.9	27004	keep	exp24: 12-block model + 1-hour — good but 9-block is better (raw=1.299 SWA=1.292)
umibozu	9568e5d	1.311548	7695.9	32700	discard	exp4: gradient accum (eff BS=16) + LR1=0.015 — fewer opt steps hurt (raw=1.312 SWA=1.315)
hawaii	1dbfec6	1.301599	7850.4	36635	keep	1-hour: N_BLOCKS=9 + overlap + const_frac=0.7 + SWA — competitive! (raw=1.315 SWA=1.302)
osaka	e016221	1.296772	3741.0	23943	keep	exp52: 9-block + compiled flex_attn + 1-hour + time-based LR — NEW PB (raw=1.297 SWA=1.306)
tokyo	3454bab	1.286045	7841.6	36392	keep	exp25: 9-block + tuned LR (max_steps=36000) — NEW GLOBAL BEST!! (raw=1.286 SWA=1.291)
umibozu	9a584ed	1.305412	7748.7	61924	keep	exp5: rerun best config (LR1=0.015 max_steps=60000 SWA@85%) — NEW GLOBAL BEST!! (raw=1.305 SWA=1.309)
hawaii	1dbfec6	1.302458	7849.3	36537	keep	1-hour: N_BLOCKS=9 + overlap + const_frac=0.7 run 2 (raw=1.314 SWA=1.302)
osaka	dba0b46	1.299837	3741.0	23973	discard	exp53: 9-block GRAD_CLIP=3 const_frac=0.6 — worse than exp52 (raw=1.300 SWA=1.306)
umibozu	9a584ed	1.303193	7749.9	62561	keep	exp6: rerun best config run 2 — NEW GLOBAL BEST!! (raw=1.303 SWA=1.308)
hawaii	6d44edb	1.299657	7849.8	36570	keep	1-hour: N_BLOCKS=9 + overlap + tokyo LR (const_frac=0.6) — NEW PB! (raw=1.301 SWA=1.300)
osaka	b20274b	1.284556	7900.4	36931	keep	exp54: full compile + 9-block + osaka config + time-based LR — NEW GLOBAL BEST!! (raw=1.285 SWA=1.291)
tokyo	7c87d6a	1.318038	7841.6	35854	discard	exp26: horizontal flip augmentation — regression (raw=1.318 SWA=1.324), flip doubles task complexity
umibozu	9a584ed	1.301341	7750.7	62062	keep	exp7: rerun best config run 3 — NEW GLOBAL BEST!! (raw=1.301 SWA=1.305)
hawaii	6d44edb	1.302176	7849.8	36826	keep	1-hour: N_BLOCKS=9 + overlap + tokyo LR run 2 (raw=1.303 SWA=1.302)
hawaii	643758a	-	-	0	crash	9-block + time-based LR: SyntaxError (global before assignment)
osaka	b20274b	1.283567	7902.0	37177	keep	exp54 run2: full compile 9-block osaka config — NEW GLOBAL BEST!! (raw=1.284 SWA=1.290)
umibozu	9a584ed	1.300204	7751.1	62514	keep	exp8: rerun best config run 4 — NEW GLOBAL BEST!! (raw=1.300 SWA=1.305)
tokyo	6ae1bd4	1.286883	4151.2	37106	discard	exp27: pre-compile + time-based LR + N_HEADS=12 (d_head=32) — neutral (raw=1.287 SWA=1.293), 47% less VRAM
hawaii	fa84297	1.305815	7849.8	36518	discard	9-block + time-based LR (no overlap): worse than overlap config (raw=1.306 SWA=1.306)
osaka	b20274b	1.287501	7901.8	37133	keep	exp54 run3: full compile 9-block osaka config (raw=1.288 SWA=1.294)
umibozu	9a584ed	1.303173	7750.7	62581	keep	exp9: rerun best config run 5 (raw=1.303)
tokyo	9dead22	1.296620	7835.3	36321	discard	exp28: broader noise (sigma=1.5) + const_frac=0.7 — REGRESSION (raw=1.297 SWA=1.302), noise schedule too broad
osaka	9115c68	1.287152	7934.2	33163	discard	exp55: 10-block model — worse than 9-block (raw=1.287 SWA=1.293)
hawaii	0be36dd	1.301344	7849.3	36867	keep	1-hour: N_BLOCKS=9 + overlap + tokyo LR run 3 (raw=1.302 SWA=1.301)
umibozu	9a584ed	1.302001	7748.7	62740	keep	exp10: rerun best config run 6 (raw=1.302)
tokyo	7d256a5	1.284664	7837.3	36313	keep	exp29: osaka config (GRAD_CLIP=10 const_frac=0.7) + WEIGHT_DECAY=0 — NEW GLOBAL BEST!! (raw=1.285 SWA=1.291)
osaka	c48428b	1.289465	7902.6	37004	discard	exp54 run4: 9-block osaka config (raw=1.289 SWA=1.296) — bad seed
hawaii	67b81b9	1.299816	7849.8	36846	keep	1-hour: N_BLOCKS=9 + overlap + GRAD_CLIP=10 (raw=1.301 SWA=1.300)
umibozu	9a584ed	1.305612	7750.7	62919	keep	exp11: rerun best config run 7 (raw=1.306)
tokyo	7d256a5	1.282143	7835.3	36181	keep	exp29 run2: osaka config + WEIGHT_DECAY=0 — NEW GLOBAL BEST!! (raw=1.282 SWA=1.288)
osaka	ea43fd1	1.293327	7903.0	37145	discard	exp56: WEIGHT_DECAY=0 — regression (raw=1.293 SWA=1.299)
hawaii	6497cb8	1.299620	7849.8	36560	keep	1-hour: N_BLOCKS=9 + overlap + WEIGHT_DECAY=0 + GRAD_CLIP=10 (raw=1.300 SWA=1.300)
umibozu	9a584ed	1.303772	7749.9	62000	keep	exp12: rerun best config run 8 (raw=1.304)
osaka	5b7f21a	1.286309	7901.2	36828	keep	exp54 run5: 9-block osaka config (raw=1.286 SWA=1.294)
tokyo	6ac15ce	1.282871	7905.2	36153	discard	exp30: EMA broken (init contamination), tightened SWA (12 ckpts) still worse than raw (raw=1.283 SWA=1.287 EMA=5.373)
hawaii	47a569a	1.307653	7850.2	36970	discard	tokyo/osaka config (no overlap, const_frac=0.7, WD=0, GC=10): regression (raw=1.308 SWA=1.309)
umibozu	9a584ed	1.305150	7750.7	62500	keep	exp13: rerun best config run 9 (raw=1.305)
osaka	6d0125a	1.288706	7905.3	37195	discard	exp57: WD=0 retry — better but still worse than WD=1e-5 (raw=1.289 SWA=1.295)
tokyo	65c9a9c	1.287981	7902.3	36320	discard	exp31: LR1=0.025 + fixed EMA — regression (raw=1.288 SWA=1.293 EMA=1.368), higher LR hurts
hawaii	c0af50c	1.288079	7849.8	36758	keep	1-hour: N_BLOCKS=9 + full overlap (train+val) + WD=0 + GC=10 — NEW PB! (raw=1.288 SWA=1.293)
umibozu	9a584ed	1.309956	7749.9	62945	keep	exp14: rerun best config run 10 — unlucky seed (raw=1.310)
osaka	2a5c0a4	1.287155	7901.2	37000	keep	exp54 run6: 9-block osaka config (raw=1.287 SWA=1.293)
tokyo	bc929ee	1.283953	7838.5	36569	discard	exp32: const_frac=0.8 — neutral (raw=1.284 SWA=1.291), within variance of const_frac=0.7
umibozu	9a584ed	1.302424	7749.9	62985	keep	exp15: rerun best config run 11 (raw=1.302)
hawaii	c0af50c	1.288331	7850.4	36791	keep	1-hour: N_BLOCKS=9 + full overlap + WD=0 + GC=10 run 2 (raw=1.288 SWA=1.293)
osaka	2a5c0a4	1.283113	7901.2	37000	keep	exp54 run7: 9-block osaka config — NEW PB!! (raw=1.283 SWA=1.289)
tokyo	3792e5e	1.289047	2059	35503	discard	exp34: factorized spatial-temporal attention + WD=0 — regression vs full attention
umibozu	2568997	1.303748	7828.8	35213	discard	exp16: Min-SNR-5 loss weighting + overlapping clips (worse than baseline, weighted loss mismatches unweighted val)
osaka	11c33d7	1.309883	2438.9	24858	discard	exp58: factorized spatial-temporal attention (parallel shared-QKV SDPA) — REGRESSION (raw=1.310 SWA=1.317), 2.5x slower throughput
tokyo	fbf13f6	1.289672	7894	36443	discard	exp35: Min-SNR loss weighting (gamma=5) + WD=0 — no improvement
osaka	2981824	1.265227	5605.7	37636	keep	exp59: D_MODEL=512 N_BLOCKS=7 N_HEADS=16 (d_head=32) — NEW GLOBAL BEST!! (raw=1.265 SWA=1.271)
umibozu	863d92b	1.301446	3439.0	24769	discard	exp17: factored spatial-temporal attention (12 blocks, 40.9M params, slower steps, limited info flow)
hawaii	47abdbb	1.262462	5605.9	37129	keep	exp1: D_MODEL=512 N_BLOCKS=7 + WEIGHT_DECAY=0 — NEW GLOBAL BEST!! (raw=1.262 SWA=1.268)
tokyo	e887a19	1.274939	5606.0	23901	discard	exp36: D_MODEL=512 N_BLOCKS=7 (osaka best) + WEIGHT_DECAY=0 — regression (raw=1.275 SWA=1.284)
umibozu	22fb26c	1.279903	5605.9	20249	keep	exp19: D=512 N_BLOCKS=7 + WEIGHT_DECAY=0 (osaka base) — raw=1.280 SWA=1.289
osaka	1721d88	1.279837	5590.0	26465	keep	exp60: patch conv kernel 5→3 on D_MODEL=512 7-block — NEW GLOBAL BEST!! (raw=1.280 SWA=1.290)
hawaii	547b2a2	1.264323	5651.5	32876	discard	exp3: D=512 N_BLOCKS=8 WD=0 — regression (raw=1.264 SWA=1.271), fewer steps hurt
tokyo	5fc7bd9	1.263240	5609.3	36456	discard	exp38: input-to-output skip connection (D=512 N=7 WD=0) — neutral (raw=1.263 SWA=1.269), within variance of baseline
hawaii	4ecf5cf	1.263265	5484.4	37772	discard	exp4: N_REGISTERS=0 — neutral (raw=1.263 SWA=1.270), registers not needed but no benefit
tokyo	289c4ca	1.286441	5607.3	30854	discard	exp39: ReLU² in GEGLU (D=512 N=7 WD=0) — regression (raw=1.286 SWA=1.292), 30k steps due to GPU contention
hawaii	aa339c6	1.268331	5590.0	38175	discard	exp5: kernel_size=3 — regression (raw=1.268 SWA=1.275), larger kernel needed for spatial context
tokyo	42b51da	1.278636	6935.6	17591	discard	exp40: D_MODEL=640 N_BLOCKS=5 N_HEADS=20 WD=0 — regression (raw=1.279 SWA=1.285), only 17.6k steps (too slow)
hawaii	70b6066	1.272822	5553.4	39446	discard	exp6: EXPANSION=3 — regression (raw=1.273 SWA=1.279), FFN capacity needed
tokyo	f7b4c3e	1.291218	3148.0	19681	discard	exp41: N_HEADS=8 d_head=64 (D=512 WD=0) — regression (raw=1.291 SWA=1.299), 50% less VRAM but slower throughput (19.7k steps)
tokyo	272f3e5	1.286535	5608.9	19737	discard	exp42: dropout=0.05 attn+FFN (D=512 WD=0) — regression (raw=1.287 SWA=1.295), only 19.7k steps + dropout hurts convergence
hawaii	f83b3a2	1.266330	5606.3	37109	discard	exp7: 2D spatial pos embedding — regression (raw=1.266 SWA=1.273), redundant with RoPE
tokyo	3d5c9b3	1.280924	5606.5	19412	keep	exp43: baseline rerun (D=512 N=7 WD=0) — calibration under GPU contention (raw=1.281 SWA=1.289, 19.4k steps)
hawaii	0dd6d75	1.264622	5608.2	37093	discard	exp8: 2-layer time MLP — regression (raw=1.265 SWA=1.271), per-block modulation already sufficient
tokyo	51f9045	1.277743	5629.7	11107	keep	exp44: BATCH_SIZE=16 (D=512 WD=0) — better data efficiency (raw=1.278, 11k steps vs baseline 1.281 at 19k steps)
hawaii	6344e02	1.262793	5606.5	37162	keep	exp9: rerun winning config — val_loss=1.263 (raw=1.263 SWA=1.270), very reproducible
